Vannlokalitet_kode,Betegnelse,Aktivitet_id,Oppdragsgiver,Oppdragstaker,Parameter_id,VitenskapligNavn,Provetakmetode_id,Analysemetode_id,Tid_provetak,Listenavn,Provenr,Ant_verdier,Kommentar,source_file,date,year,value,upper_m,lower_m
01.01-101532,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Membranipora membranacea,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-09 15:00:00,5 - 25 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-09,2024,3,,
01.01-101532,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Balanus,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-09 15:00:00,5 - 25 %,,1,Juvenil,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-09,2024,3,,
01.01-101532,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Balanus,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-09 15:00:00,25 - 50 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-09,2024,4,,
01.01-101533,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Metridium senile pallidus (Varietet),NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 16:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,2,,
01.01-101533,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Mytilus edulis,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 16:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,2,,
01.01-101533,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Mytilus edulis,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 16:00:00,75 - 100 %,,1,Juvenil,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,6,,
01.01-101533,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Littorina,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 16:00:00,0 - 5 %,,1,Juvenil,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,2,,
01.01-101533,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Littorina littorea,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 16:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,2,,
01.01-101533,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Littorina obtusata,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 16:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,2,,
01.01-101533,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Littorina saxatilis,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 16:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,2,,
01.01-101533,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Crassostrea gigas,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 16:00:00,5 - 25 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,3,,
01.01-101533,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Carcinus maenas,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 16:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,2,,
01.01-101533,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Electra pilosa,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 16:00:00,5 - 25 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,3,,
01.01-101533,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Membranipora membranacea,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 16:00:00,5 - 25 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,3,,
01.01-101533,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Balanus,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 16:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,2,,
01.01-101533,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Balanus,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 16:00:00,5 - 25 %,,1,Juvenil,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,3,,
01.01-101533,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Porifera,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 16:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,2,,
01.01-101534,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,MHDEKNSK,Mytilus edulis,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-20 13:00:00,0 - 5 %,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-20,2024,2,,
